;[Bacteroides]_pectinophilus_ATCC_43243;-  Human, Homo sapiens Host-associated 
;Staphylococcus_aureus_strain_3688STDY6124969;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124970;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124971;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124972;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124973;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124974;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124975;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124976;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124977;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124978;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124979;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124980;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124981;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124982;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124983;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124984;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124985;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124986;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124987;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124988;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124989;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124990;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124991;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124992;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124993;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124994;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124995;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124996;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124997;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124998;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6124999;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125000;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125001;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125002;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125005;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125006;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125007;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125008;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125009;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125010;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125011;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125012;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125013;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125014;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125015;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125016;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125017;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125018;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125019;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125020;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125021;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125022;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125023;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125024;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125025;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125026;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125027;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125028;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125029;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125030;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125031;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125032;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125033;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125034;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125035;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125036;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125037;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125038;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125039;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125040;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125041;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125042;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125043;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125044;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125045;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125046;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125047;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125048;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125049;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125050;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125051;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125052;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125053;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125054;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125055;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125056;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125057;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125058;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125059;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125060;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125061;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125101;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125102;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125103;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125104;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125107;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125141;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3688STDY6125142;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_370.07;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_372P;    
;Staphylococcus_aureus_strain_37H;    
;Staphylococcus_aureus_strain_38;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_380/11;  Rabbit, Oryctolagus cuniculus  
;Staphylococcus_aureus_strain_394_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_3_LA_115;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_403.02;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_4126-1;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_4126-2;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_4185;  Cow, Bos taurus  
;Staphylococcus_aureus_strain_42;  Cow, Bos taurus  temperature:37
;Staphylococcus_aureus_strain_422;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_428;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_434.07;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_45;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_466;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_468;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_46_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_478_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_483;  Cow, Bos taurus  
;Staphylococcus_aureus_strain_484_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_49_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_4_LA_208;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_502A;Positive  Human, Homo sapiens  
;Staphylococcus_aureus_strain_502A;Positive  Human, Homo sapiens  
;Staphylococcus_aureus_strain_505_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_510_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_511_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_516;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_519_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_54;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_545;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_546;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_549;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_54_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_55-99-44;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_558_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_55_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_561_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_571_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_573_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_57_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_58;  Cow, Bos taurus  
;Staphylococcus_aureus_strain_58;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_580;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_586_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_592;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_5R-157-2;  Human, Homo sapiens  env_biome:not applicable
;Staphylococcus_aureus_strain_5_3949;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_602_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_605_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_61;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_612;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_616;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_619;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_622;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_628;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_629;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_64;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_664.rep2_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_669_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_673;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_674_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_676_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_693_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_698;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_69_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_6_LA_232;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_70_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_712181;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_714_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_717_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_721_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_723;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_723.07;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_728;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_729192;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_72_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_734;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_75;  Cow, Bos taurus  
;Staphylococcus_aureus_strain_756_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_773;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_78;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_78_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_7_4623;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_807_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_809;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_80wphwpl_v1;    
;Staphylococcus_aureus_strain_810_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_814_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_815_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_81_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_82;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_822;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_82_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_84_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_85;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_8_LA_272;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_9;  Cow, Bos taurus  
;Staphylococcus_aureus_strain_90/10685;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_90/9576;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_909;  Cow, Bos taurus  
;Staphylococcus_aureus_strain_91/10312;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_91/10759;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_91/10795;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_91/10977;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_91/10982;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_91/11046;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_91/11452;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_91/11785;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_91/5368;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_91/5370;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_921.07;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_922_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_93/3696;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_93/3697;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_930.02;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_937_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_950_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_954_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_955_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_956_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_96-01678_H;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_975_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_976_SAUR;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_98-10618;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_98-24344;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_98-26821;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_98.4823.X;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_99-06;Positive  Human, Homo sapiens  
;Staphylococcus_aureus_strain_99-48;Positive  Human, Homo sapiens  
;Staphylococcus_aureus_strain_99St18131;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_9_LA_281;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_A09973/_97;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_A1;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_A10;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_A187;    
;Staphylococcus_aureus_strain_A2;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_A3;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_A4;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_A5;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_A5;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_A53;    
;Staphylococcus_aureus_strain_A54_B;  Cow, Bos taurus  
;Staphylococcus_aureus_strain_A69;    
;Staphylococcus_aureus_strain_A7;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_A71;    
;Staphylococcus_aureus_strain_AATYQ;  Human, Homo sapiens  env_biome:human-associated habitat
;Staphylococcus_aureus_strain_AB1;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AB4;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_ABFQT;  Human, Homo sapiens  env_biome:human-associated habitat
;Staphylococcus_aureus_strain_ABFQX;  Human, Homo sapiens  env_biome:human-associated habitat
;Staphylococcus_aureus_strain_ABKWS;  Human, Homo sapiens  env_biome:human-associated habitat
;Staphylococcus_aureus_strain_ABKWT;  Human, Homo sapiens  env_biome:human-associated habitat
;Staphylococcus_aureus_strain_ABKWU;  Human, Homo sapiens  env_biome:human-associated habitat
;Staphylococcus_aureus_strain_ABOJE;  Human, Homo sapiens  env_biome:human-associated
;Staphylococcus_aureus_strain_ABOJF;  Human, Homo sapiens  env_biome:human-associated
;Staphylococcus_aureus_strain_AC045;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AD010;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AD016;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AD057;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AF012;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AFIPCBER_B_8.4;    
;Staphylococcus_aureus_strain_AG037;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AH018;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AH022;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AH027;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AK017;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AK046;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AL-492;  Cow, Bos taurus  
;Staphylococcus_aureus_strain_AL-699;  Cow, Bos taurus  
;Staphylococcus_aureus_strain_AL-704;  Cow, Bos taurus  
;Staphylococcus_aureus_strain_AL008;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AL048;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_APS210;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_APS211;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AR_0650_784;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AR1;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AR2-1;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AR3;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AR461;    
;Staphylococcus_aureus_strain_AR462;    
;Staphylococcus_aureus_strain_AR464;    
;Staphylococcus_aureus_strain_AR465;    
;Staphylococcus_aureus_strain_AR466;    
;Staphylococcus_aureus_strain_AR49-1;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_ARI1;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_ARI10;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_ARI11;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_ARI12;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_ARI26;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_ARI29;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_ARI31;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_ARI4;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_ARI5;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_ARI7;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AR_0215;    
;Staphylococcus_aureus_strain_AR_0216;    
;Staphylococcus_aureus_strain_AR_0218;    
;Staphylococcus_aureus_strain_AR_0219;    
;Staphylococcus_aureus_strain_AR_0220;    
;Staphylococcus_aureus_strain_AR_0221;    
;Staphylococcus_aureus_strain_AR_0222;    
;Staphylococcus_aureus_strain_AR_0223;    
;Staphylococcus_aureus_strain_AR_0224;    
;Staphylococcus_aureus_strain_AR_0225;    
;Staphylococcus_aureus_strain_AR_0226;    
;Staphylococcus_aureus_strain_AR_0227;    
;Staphylococcus_aureus_strain_AR_0228;    
;Staphylococcus_aureus_strain_AR_0467;    
;Staphylococcus_aureus_strain_AR_0468;    
;Staphylococcus_aureus_strain_AR_0469;    
;Staphylococcus_aureus_strain_AR_0470;    
;Staphylococcus_aureus_strain_AR_0471;    
;Staphylococcus_aureus_strain_AR_0472;    
;Staphylococcus_aureus_strain_AR_0473;    
;Staphylococcus_aureus_strain_AR_0476;    
;Staphylococcus_aureus_strain_AR_474;    
;Staphylococcus_aureus_strain_AR_475;    
;Staphylococcus_aureus_strain_ATCC_14458;    env_biome:not applicable
;Staphylococcus_aureus_strain_ATCC_14458;    env_biome:not applicable
;Staphylococcus_aureus_strain_ATCC_14458;    env_biome:not applicable
;Staphylococcus_aureus_strain_ATCC_14458;    env_biome:not applicable
;Staphylococcus_aureus_strain_ATCC_25923;    
;Staphylococcus_aureus_strain_ATCC_27217;    
;Staphylococcus_aureus_strain_ATCC_27217;    env_biome:not applicable
;Staphylococcus_aureus_strain_ATCC_43300;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_ATCC_BAA-39;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_ATCC_BAA-39;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AUS0325;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_AY20;  Pig, Sus scrofa  
;Staphylococcus_aureus_strain_AY53;  Pig, Sus scrofa  
;Staphylococcus_aureus_strain_Ab333;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_B03_011214;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_B10;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_B119;  Sheep, Ovis aries  
;Staphylococcus_aureus_strain_B12A_030115;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_B2;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_B21_100115;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_B26A_160215;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_B26B_160215;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_B28_120215;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_B58_200515;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_B6;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_B6;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_B7;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BA01611;  Cow, Bos taurus  
;Staphylococcus_aureus_strain_BAA-1699;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BB155;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-01;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-02;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-03;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-04;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-05;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-06;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-07;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-08;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-09;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-10;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-11;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-12;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-13;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-14;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCH-SA-15;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BCW_5702;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BD11451;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BD12072;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BD13502;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BD13582;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BD13938;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BD14054;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BD14262;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BD14436;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BD14655;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BD14811;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BK2529;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BMSA_1;  Cow, Bos taurus  
;Staphylococcus_aureus_strain_BPH2003;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BPH2019;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BPH2056;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BPH2070;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BPH2760;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BPH2819;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BPH2869;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BPH2900;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BPH2947;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BPH2986;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BPH3244;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BSAR1006;  Dog, Canis lupus familiaris  
;Staphylococcus_aureus_strain_BSAR111_2;  Sheep, Ovis aries  
;Staphylococcus_aureus_strain_BSAR112;  Sheep, Ovis aries  
;Staphylococcus_aureus_strain_BSAR113_2;  Sheep, Ovis aries  
;Staphylococcus_aureus_strain_BSAR136_2;  Human, Homo sapiens  
;Staphylococcus_aureus_strain_BSAR141_2;  Cow, Bos taurus  
;Staphylococcus_aureus_strain_BSAR159_2;  Dog, Canis lupus familiaris  
;Staphylococcus_aureus_strain_BSAR160_2;  Dog, Canis lupus familiaris  
;Staphylococcus_aureus_strain_BSAR161_2;  Dog, Canis lupus familiaris  
;Staphylococcus_aureus_strain_BSAR162_2;  Dog, Canis lupus familiaris  
;Staphylococcus_aureus_strain_BSAR163_2;  Dog, Canis lupus familiaris  
;Staphylococcus_aureus_strain_BSAR166_2;  Dog, Canis lupus familiaris  
;Staphylococcus_aureus_strain_BSAR167_2;  Dog, Canis lupus familiaris  
;Staphylococcus_aureus_strain_BSAR169_2;  Dog, Canis lupus familiaris  
;Staphylococcus_aureus_strain_BSAR170_2;  Dog, Canis lupus familiaris  
